                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6945,                 0.5817,                0.83265,                  4.235,             0.00023735,             0.00023735,             0.00023735
                      2,                 1.5261,                0.88792,                 0.9794,                 3.8326,              0.0004619,              0.0004619,              0.0004619
                      3,                0.79434,                0.93855,                0.99434,                 3.7137,             0.00067299,             0.00067299,             0.00067299
                      4,                0.59152,                0.95297,                0.99657,                 3.6782,             0.00065341,             0.00065341,             0.00065341
                      5,                0.50032,                0.96704,                0.99863,                 3.6568,             0.00065341,             0.00065341,             0.00065341
                      6,                0.43345,                0.97099,                0.99931,                 3.6476,             0.00063322,             0.00063322,             0.00063322
                      7,                0.38667,                0.97202,                0.99897,                 3.6407,             0.00061302,             0.00061302,             0.00061302
                      8,                0.31613,                0.98215,                0.99949,                 3.6271,             0.00059282,             0.00059282,             0.00059282
                      9,                0.32953,                0.98335,                0.99914,                 3.6269,             0.00057263,             0.00057263,             0.00057263
                     10,                 0.2904,                0.98266,                0.99983,                 3.6264,             0.00055243,             0.00055243,             0.00055243
                     11,                0.26333,                 0.9861,                0.99983,                 3.6165,             0.00053224,             0.00053224,             0.00053224
                     12,                0.25923,                 0.9885,                0.99983,                 3.6165,             0.00051204,             0.00051204,             0.00051204
                     13,                0.22565,                 0.9897,                0.99966,                 3.6145,             0.00049184,             0.00049184,             0.00049184
                     14,                0.22347,                0.99022,                0.99983,                 3.6134,             0.00047165,             0.00047165,             0.00047165
                     15,                0.20438,                 0.9909,                0.99966,                 3.6106,             0.00045145,             0.00045145,             0.00045145
                     16,                 0.1905,                0.99107,                0.99983,                 3.6115,             0.00043126,             0.00043126,             0.00043126
                     17,                0.19615,                0.99331,                0.99966,                 3.6099,             0.00041106,             0.00041106,             0.00041106
                     18,                0.17939,                0.99451,                0.99983,                 3.6059,             0.00039086,             0.00039086,             0.00039086
                     19,                0.16272,                0.99537,                0.99983,                 3.6042,             0.00037067,             0.00037067,             0.00037067
                     20,                 0.1526,                0.99331,                0.99983,                 3.6054,             0.00035047,             0.00035047,             0.00035047
                     21,                0.15893,                0.99554,                0.99983,                 3.6031,             0.00033028,             0.00033028,             0.00033028
                     22,                0.14853,                0.99485,                0.99983,                  3.603,             0.00031008,             0.00031008,             0.00031008
                     23,                0.13336,                 0.9964,                0.99983,                 3.6014,             0.00028988,             0.00028988,             0.00028988
                     24,                0.13416,                0.99588,                0.99966,                 3.6011,             0.00026969,             0.00026969,             0.00026969
                     25,                0.12057,                0.99622,                0.99966,                 3.6006,             0.00024949,             0.00024949,             0.00024949
                     26,                0.12334,                0.99571,                0.99966,                  3.601,              0.0002293,              0.0002293,              0.0002293
                     27,                0.12427,                0.99502,                0.99966,                 3.6031,              0.0002091,              0.0002091,              0.0002091
                     28,                0.12094,                0.99622,                0.99966,                    3.6,              0.0001889,              0.0001889,              0.0001889
                     29,                0.11111,                0.99588,                0.99983,                 3.6003,             0.00016871,             0.00016871,             0.00016871
                     30,                0.10887,                0.99605,                0.99983,                 3.6002,             0.00014851,             0.00014851,             0.00014851
                     31,                0.10011,                0.99657,                0.99983,                 3.5992,             0.00012832,             0.00012832,             0.00012832
                     32,                0.08732,                0.99691,                0.99983,                 3.5988,             0.00010812,             0.00010812,             0.00010812
                     33,                0.10071,                0.99708,                0.99983,                 3.5993,             8.7924e-05,             8.7924e-05,             8.7924e-05
                     34,                0.09642,                0.99657,                0.99983,                 3.5991,             6.7728e-05,             6.7728e-05,             6.7728e-05
                     35,                0.09706,                0.99794,                0.99983,                  3.598,             4.7532e-05,             4.7532e-05,             4.7532e-05
